"HolderAddress","Balance","PendingBalanceUpdate"
"0x423bf3038eaee9cb3880dddc44b8aaa543aa5b4a","200,530.785945157609399174","No"
"0xe47e42308c27ccb5a7459e54f1d21abe2dbe8cc1","112,293.51197905774","No"
"0x1a400eba06880610c672dae33a17a2bd66e30cdd","70,357.7815262616","No"
"0x84197fa35061a353fdfab8ee125bee39668c056b","59,996.883159478510225454","No"
"0x805b01e7f3fe127769b249763250222630968b4d","50,210.728887910044354463","No"
"0x5db5acaed92abac288da6ae2f4996f89d3902330","43,693.331110343814","No"
"0xee479ac6a9915ef0eb2d29b66c222cff90a4afaa","42,157.29936833670217","No"
"0x6d33ecd723155522d597682df1f0ac10e7d7d9ed","39,480.26288921597","No"
"0x4fa6a3d62839503077f8ca3771722244fc5da9fa","36,276.51077585053832486","No"
"0xf8153167313ce9cfcb45bd4aff2b543513388163","36,078.62707724337047886","No"
"0x39c3784d43c0fe8845396ff1a9dde62cd4667d3f","27,966.966667853954","No"
"0x2882ea99b803e734fbe48263fc7d97408918eb88","26,290.2138810659","No"
"0xe27c6d0626c87faa401dd55f9d8bbc99076273d5","24,001.47285027746","No"
"0x83b69020e1db46c044a913017f09d953adb9e59a","22,423.1676538","No"
"0x887387e479dbb13887e30290c4b417ab34458214","22,243.303859283953352386","No"
"0xad8da72fb6c0bc3b27a67dbe0daf8ad1476c8d20","21,712.613818826308886964","No"
"0x15ded2601702ee39f3808ef85e0ce54d16bd682f","21,113.39177164520152","No"
"0xa6d97faf0c14981b33efa71ff78e856ac781441a","20,350.840849717928943528","No"
"0x0f02e6a7e89260cd907834bc84f0594d15e6db25","19,280.17382117090781701","No"
"0x2c82c2ebb480b1444d96cc59362f89a2feedc721","18,696.72040990675","No"
"0x8850b2109080a6cefa05493399e121449d6b0ee3","18,178.534953455703921206","No"
"0x9eaae5a5421fdf319bd28ef6166489614ec29748","17,804.7580823","No"
"0x0fbf5b87bde5b99906a0a80f7a5efc64ddd2a4c3","16,238.467925966503313045","No"
"0xc2bc846efcfa1d238e0513ff8764819910f2884e","14,879.35801923070510578","No"
"0x28f20b3ae1ec1bce6dda20c96412bb44fd968b15","14,451.957270060564","No"
"0x3f1c1a5d1fcc778f8a01d997d91c974762514fe1","14,270.83279757369","No"
"0x977ad972b7091ed5ad65dd3b1df9765519073974","13,750.466147915821","No"
"0x85aef8294d8b377ffc49bb0b0e5b3ccc089ca9c8","13,686.696308290431515","No"
"0x7aa4bb1a4fd76321089aafae5a5db3bc261e6932","13,165.56650192967484","No"
"0x9c6c56700f4952d45896757ac098968e97695a55","12,832.0915068","No"
"0xb20a1fa1d011e68895cc48f1f14c6b77e8d2085e","12,613.152195498475","No"
"0x197e520f981c3722ce67b5dd58661a3808e7ac17","12,551.610315733029","No"
"0x18b97cbac32dbb75374f18fc693bdf1e79b00abc","12,501.028009382393","No"
"0xe20228b0a19c523aa1b97f301537035eb86165e3","12,454.089296188880732331","No"
"0xb6000324930f03b332910a1776b7338fca7f1f27","12,166.588585099327261376","No"
"0x7aa7a40a0200fbccf9a75c181692b4f30af6d7c2","11,974.9","No"
"0xed008fa0bdc93c588af3d1d26b312cc5e0e4654f","11,209.953301597545","No"
"0xd51a235a96b0ade231f5600aff65aa7c81963c7e","11,010.57487657535","No"
"0xa4ebcd26e10d073560bdcc88a7042973c100f7f0","10,768.345001432195","No"
"0x6f1c28c40b5fed4fb546f85959ae2f7c16365cad","10,487.799557868633","No"
"0xbb8e5ecf42afdd2c84d1142190b9b59c8521b9f3","10,419.35141601485","No"
"0xf73b2d3ede5017a5a60e532eec9d1b40aeaaf5b9","10,395.31526302445","No"
"0x4edef07e2393efe621bc443df0be57557ce04393","10,314.296879303895","No"
"0x56a26d02e28ffc2a196765727a12d13e0977febd","10,100.1280520969","No"
"0x1f88d0f55931fdc1dd95a714bdf7208ef9b4ab4f","10,010.401828032156359879","No"
"0x3fdb50f723ceb370470d314ed05c22d7359be529","10,003.905433081033829998","No"
"0x3555eda383936b40177e832e9ffe366e0e7011ec","9,701.142943112747","No"
"0x6e5c091422e5023ae8509b296bd66ea7315e7da6","9,514.1961770457167","No"
"0x1ba899a4c9f9070be7fb60f285b6ba8e1b42ab04","9,271.16798703276","No"
"0x7f0587a6d8b893e0ca5215d0a4a8c9f4ea01eeed","8,921.84058468000001","No"
"0x7c12f55043c6ab71ebd91969e5f9e476368335e1","8,914.779549523727808554","No"
"0xa82a1cfc4acc94e63d4120282f6f05c33b9ae510","8,860.726019949334007","No"
"0xd4443e3d238fc3e5d9a8a104dfc46ad1144ef90a","8,475.706201714975","No"
"0xdfce2ad859d73429b2c41f7bc97dc45d1ebe393d","8,452.498319990136","No"
"0x1b6bc9e65eb854923ff373e30bae3a542c982bf3","8,383.771112595958","No"
"0xa23feff15e7dd14b8991dc67f53f3102bc20f794","8,267.636946144808","No"
"0xad442c028315853de9470feb0935d2a04335f7de","7,930.523734505524","No"
"0xefc4b0434fbc518a4f31e701a27395e4c0086b17","7,827.333736552448","No"
"0x2de389f53dfda09332e8856e8dc9ae661ec3a86c","7,630.390095656829","No"
"0x6940bb330734845c1bc1f7daae8a26c416ba598d","7,407.303620000001","No"
